"","var","rel.inf"
"COL6A6","COL6A6",0
"LOC91461","LOC91461",0
"RPS17","RPS17",0
"MET","MET",0
"RBM17","RBM17",0
"C21orf89","C21orf89",0
"KLK8","KLK8",0
"C17orf73","C17orf73",0
"LOC730092","LOC730092",0
"RCSD1","RCSD1",0
"`PALM2-AKAP2`","`PALM2-AKAP2`",0
"FAU","FAU",0
"THPO","THPO",0
"ISCU","ISCU",0
"ACLY","ACLY",0
"DNAJC1","DNAJC1",0
"FLI1","FLI1",0
"C6orf189","C6orf189",0
"ICAM2","ICAM2",0
"GSK3B","GSK3B",0
"ZMYND10","ZMYND10",0
"MYO9A","MYO9A",0
"SPRY1","SPRY1",0
"NR4A1","NR4A1",0
"CEACAM5","CEACAM5",0
"APOLD1","APOLD1",0
"WHDC1","WHDC1",0
"LCAT","LCAT",0
"LY6D","LY6D",0
"TMEM37","TMEM37",0
"DNASE1","DNASE1",0
"HECA","HECA",0
"CG018","CG018",0
"UNC5B","UNC5B",0
"LIPE","LIPE",0
"STAT4","STAT4",0
"ETS2","ETS2",0
"CST1","CST1",0
"ZNF366","ZNF366",0
"CLDN7","CLDN7",0
"DLG3","DLG3",0
"ZFP36L2","ZFP36L2",0
"MRPS7","MRPS7",0
"FZD7","FZD7",0
"EGR2","EGR2",0
"C21orf63","C21orf63",0
"RFX1","RFX1",0
"DUSP1","DUSP1",0
"PAK3","PAK3",0
"CD97","CD97",0
"ZNRF2","ZNRF2",0
"C10orf10","C10orf10",0
"ARMC10","ARMC10",0
"DARC","DARC",0
"IL6","IL6",0
"ZBTB37","ZBTB37",0
"KRT14","KRT14",0
"IGSF10","IGSF10",0
"KCNH8","KCNH8",0
"LOC541472","LOC541472",0
"IL1R2","IL1R2",0
"DBC1","DBC1",0
"FADS3","FADS3",0
"HNRPH3","HNRPH3",0
"DGAT2","DGAT2",0
"GPR142","GPR142",0
"CD1E","CD1E",0
"FAM107A","FAM107A",0
"NES","NES",0
"ACOT4","ACOT4",0
"FBXL18","FBXL18",0
"C10orf54","C10orf54",0
"ZNF673","ZNF673",0
"LRFN5","LRFN5",0
"GPD1","GPD1",0
"C1orf55","C1orf55",0
"CEL","CEL",0
"KRT17","KRT17",0
"KLRC1","KLRC1",0
"VIT","VIT",0
"TIMM17A","TIMM17A",0
"LRRC2","LRRC2",0
"TOX","TOX",0
"IL13","IL13",0
"SAMD5","SAMD5",0
"CREM","CREM",0
"PRDM1","PRDM1",0
"OR8U1","OR8U1",0
"GFPT1","GFPT1",0
"CA4","CA4",0
"SLC35A2","SLC35A2",0
"C1orf38","C1orf38",0
"ADORA3","ADORA3",0
"SPA17","SPA17",0
"ZFAND5","ZFAND5",0
"TEGT","TEGT",0
"RPL11","RPL11",0
"RPS25","RPS25",0
"ACOT8","ACOT8",0
"HEATR2","HEATR2",0
"FBXL13","FBXL13",0
"PDE3B","PDE3B",0
"PGK1","PGK1",0
"CCL13","CCL13",0
"MATK","MATK",0
"LGR6","LGR6",0
"BTNL9","BTNL9",0
"C3AR1","C3AR1",0
"ARF1","ARF1",0
"MGC12966","MGC12966",0
"WDR51A","WDR51A",0
"PYHIN1","PYHIN1",0
"CIDEC","CIDEC",0
"CYYR1","CYYR1",0
"PNRC1","PNRC1",0
"NTRK3","NTRK3",0
"CREB5","CREB5",0
"SOCS7","SOCS7",0
"KIAA1702","KIAA1702",0
"PLEK2","PLEK2",0
"NFIB","NFIB",0
"LIFR","LIFR",0
"OSR1","OSR1",0
"BPIL1","BPIL1",0
"hCG_2028557","hCG_2028557",0
"OR5J2","OR5J2",0
"CELSR1","CELSR1",0
"EID3","EID3",0
"GLYAT","GLYAT",0
"ITM2A","ITM2A",0
"EIF2AK1","EIF2AK1",0
"CLEC4G","CLEC4G",0
"PAPLN","PAPLN",0
"SGOL2","SGOL2",0
"CST2","CST2",0
"GABARAPL3","GABARAPL3",0
"KIAA0152","KIAA0152",0
"KLRD1","KLRD1",0
"MARCH1","MARCH1",0
"RPS6KA3","RPS6KA3",0
"AQP7","AQP7",0
"TTNmut","TTNmut",0
"MUC16mut","MUC16mut",0
"AHNAK2mut","AHNAK2mut",0
